RegistroID,Importado,Temporario,Removido,ImportadoRepetido,Codigo,CodigoIBGE,Sigla,Nome,DataIns,DataAlt,RespAlt
13834,0,0,0,0,1,11,RO,RONDÔNIA,10/07/2020,,6
13835,0,0,0,0,2,12,AC,ACRE,10/07/2020,,6
13836,0,0,0,0,3,13,AM,AMAZONAS,10/07/2020,,6
13837,0,0,0,0,4,14,RR,RORAIMA,10/07/2020,,6
13838,0,0,0,0,5,15,PA,PARÁ,10/07/2020,,6
13839,0,0,0,0,6,16,AP,AMAPÁ,10/07/2020,,6
13840,0,0,0,0,7,21,MA,MARANHÃO,10/07/2020,,6
13841,0,0,0,0,8,22,PI,PIAUÍ,10/07/2020,,6
13842,0,0,0,0,9,23,CE,CEARÁ,10/07/2020,,6
13843,0,0,0,0,10,24,RN,RIO GRANDE DO NORTE,10/07/2020,,6
13844,0,0,0,0,11,25,PB,PARAÍBA,10/07/2020,,6
13845,0,0,0,0,12,26,PE,PERNAMBUCO,10/07/2020,,6
13846,0,0,0,0,13,27,AL,ALAGOAS,10/07/2020,,6
13847,0,0,0,0,15,28,SE,SERGIPE,10/07/2020,,6
13848,0,0,0,0,16,29,BA,BAHIA,10/07/2020,,6
13849,0,0,0,0,17,31,MG,MINAS GERAIS,10/07/2020,,6
13850,0,0,0,0,18,32,ES,ESPÍRITO SANTO,10/07/2020,,6
13851,0,0,0,0,19,33,RJ,RIO DE JANEIRO,10/07/2020,,6
13852,0,0,0,0,21,35,SP,SÃO PAULO,10/07/2020,,6
13853,0,0,0,0,22,41,PR,PARANÁ,10/07/2020,,6
13854,0,0,0,0,23,42,SC,SANTA CATARINA,10/07/2020,,6
13855,0,0,0,0,24,43,RS,RIO GRANDE DO SUL,10/07/2020,,6
13856,0,0,0,0,25,51,MT,MATO GROSSO,10/07/2020,,6
13857,0,0,0,0,26,52,GO,GOIÁS,10/07/2020,,6
13858,0,0,0,0,27,53,DF,DISTRITO FEDERAL,10/07/2020,,6
13859,0,0,0,0,28,50,MS,MATO GROSSO DO SUL,10/07/2020,,6
13860,0,0,0,0,29,17,TO,TOCANTINS,10/07/2020,,6
13861,0,0,0,0,61,,UR,URUGUAI,10/07/2020,,6
13862,0,0,0,0,62,,AR,ARGENTINA,10/07/2020,,6
13863,0,0,0,0,63,,PG,PARAGUAI,10/07/2020,,6
13864,0,0,0,0,64,,CH,CHILE,10/07/2020,,6
13865,0,0,0,0,65,,BO,BOLÍVIA,10/07/2020,,6
13866,0,0,0,0,66,,PU,PERU,10/07/2020,,6
13867,0,0,0,0,67,,CO,COLÔMBIA,10/07/2020,,6
13868,0,0,0,0,68,,EQ,EQUADOR,10/07/2020,,6
13869,0,0,0,0,69,,VE,VENEZUELA,10/07/2020,,6
13870,0,0,0,0,70,,GU,GUIANA,10/07/2020,,6
13871,0,0,0,0,71,,SU,SURINAME,10/07/2020,,6
13872,0,0,0,0,72,,GF,GUIANA FRANCESA,10/07/2020,,6